Date,Provider,Service,Cost
2025-09-29 22:47:26.340543,AWS,Compute (EC2),530.64
2025-09-29 22:47:26.340543,AWS,Storage (S3),132.77
2025-09-29 22:47:26.340543,GCP,BigQuery,331.19
2025-09-29 22:47:26.340543,Azure,Networking,240.93
2025-09-30 22:47:26.340543,AWS,Compute (EC2),549.63
2025-09-30 22:47:26.340543,AWS,Storage (S3),159.85
2025-09-30 22:47:26.340543,GCP,BigQuery,365.38
2025-09-30 22:47:26.340543,Azure,Networking,208.87
2025-10-01 22:47:26.340543,AWS,Compute (EC2),386.98
2025-10-01 22:47:26.340543,AWS,Storage (S3),154.24
2025-10-01 22:47:26.340543,GCP,BigQuery,232.44
2025-10-01 22:47:26.340543,Azure,Networking,263.56
2025-10-02 22:47:26.340543,AWS,Compute (EC2),500.45
2025-10-02 22:47:26.340543,AWS,Storage (S3),130.25
2025-10-02 22:47:26.340543,GCP,BigQuery,285.54
2025-10-02 22:47:26.340543,Azure,Networking,198.89
2025-10-03 22:47:26.340543,AWS,Compute (EC2),541.31
2025-10-03 22:47:26.340543,AWS,Storage (S3),142.56
2025-10-03 22:47:26.340543,GCP,BigQuery,293.23
2025-10-03 22:47:26.340543,Azure,Networking,181.4
2025-10-04 22:47:26.340543,AWS,Compute (EC2),332.51
2025-10-04 22:47:26.340543,AWS,Storage (S3),104.08
2025-10-04 22:47:26.340543,GCP,BigQuery,176.12
2025-10-04 22:47:26.340543,Azure,Networking,164.6
2025-10-05 22:47:26.340543,AWS,Compute (EC2),346.39
2025-10-05 22:47:26.340543,AWS,Storage (S3),93.96
2025-10-05 22:47:26.340543,GCP,BigQuery,185.21
2025-10-05 22:47:26.340543,Azure,Networking,147.56
2025-10-06 22:47:26.340543,AWS,Compute (EC2),476.44
2025-10-06 22:47:26.340543,AWS,Storage (S3),159.71
2025-10-06 22:47:26.340543,GCP,BigQuery,360.99
2025-10-06 22:47:26.340543,Azure,Networking,184.91
2025-10-07 22:47:26.340543,AWS,Compute (EC2),541.72
2025-10-07 22:47:26.340543,AWS,Storage (S3),150.06
2025-10-07 22:47:26.340543,GCP,BigQuery,428.0
2025-10-07 22:47:26.340543,Azure,Networking,193.49
2025-10-08 22:47:26.340543,AWS,Compute (EC2),525.61
2025-10-08 22:47:26.340543,AWS,Storage (S3),153.4
2025-10-08 22:47:26.340543,GCP,BigQuery,249.52
2025-10-08 22:47:26.340543,Azure,Networking,220.16
2025-10-09 22:47:26.340543,AWS,Compute (EC2),437.47
2025-10-09 22:47:26.340543,AWS,Storage (S3),148.16
2025-10-09 22:47:26.340543,GCP,BigQuery,172.63
2025-10-09 22:47:26.340543,Azure,Networking,216.43
2025-10-10 22:47:26.340543,AWS,Compute (EC2),489.88
2025-10-10 22:47:26.340543,AWS,Storage (S3),134.25
2025-10-10 22:47:26.340543,GCP,BigQuery,259.68
2025-10-10 22:47:26.340543,Azure,Networking,125.29
